"NAME","TYPE","BILLINGSTREET","BILLINGCITY","BILLINGSTATE","BILLINGPOSTALCODE","BILLINGCOUNTRY","SHIPPINGSTREET","SHIPPINGCITY","SHIPPINGSTATE","SHIPPINGPOSTALCODE","SHIPPINGCOUNTRY","PHONE","WEBSITE","INDUSTRY","OWNERSHIP","NUMBEROFEMPLOYEES","RATING","DESCRIPTION","Supplier_Company_Id__c"
"Test acc 138","Installation Partner","525 S. Lexington Ave","MEXICO","MX-DF",11000,"MX","DHE010828K6A","MEXICO","MX-GJ",0,"MX","OTC971119B32","www.Test acc 138.com","Other","Other",52345,"Warm","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1535
"Test acc 1380","Technology Partner","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","MEXICO","MX-DF",11000,"MX","CES081007NE0","MEXICO","MX-GJ",0,"MX","OQU950811G2A","www.Test acc 1380.com","Agriculture","Public",23,"Cold","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1536
"Test acc 1381","Other","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","MEXICO","MX-DF",11000,"MX","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-GJ",0,"MX","OQU0406219V1","www.Test acc 1381.com","Apparel","Private",45,"Hot","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1537
"Test acc 1382","Prospect","9 Tagore Lane
Singapore, Singapore 787472
Singapore","MEXICO","MX-DF",11111,"HK","1301 Avenue of the Americas 
New York, NY 10019
USA","MEXICO","MX-GJ",0,"MX","OPO970423FA8","www.Test acc 1382.com","Banking","Subsidiary",23,"Warm","Commerical logistics and transportation company.",1538
"Test acc 1383","Customer - Direct","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-DF",11111,"HK","1301 Hoch Drive","MEXICO","MX-GJ",0,"MX","OORR3401232X1","www.Test acc 1383.com","Biotechnology","Other",452,"Cold","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1539
"Test acc 1384","Customer - Channel","The Landmark @ One Market","MEXICO","MX-DF",11111,"HK","2 Place Jussieu","MEXICO","MX-GJ",0,"MX","OIR870804C92","www.Test acc 1384.com","Chemicals","Public",345,"Warm","World's third largest oil and gas company.",1540
"Test acc 1385","Channel Partner / Reseller","1301 Avenue of the Americas 
New York, NY 10019
USA","MEXICO","MX-DU",11111,"HK","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","MEXICO","MX-GJ",0,"MX","OIOJ690807QGA","www.Test acc 1385.com","Communications","Private",2,"Hot","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1541
"Test acc 1386","Installation Partner","1301 Hoch Drive","MEXICO","MX-DU",11111,"HK","Test acc 2157","MEXICO","MX-GR",0,"MX","OIMR5408276X8","www.Test acc 1386.com","Construction","Subsidiary",345,"Warm","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1542
"Test acc 1387","Technology Partner","2 Place Jussieu","MEXICO","MX-DU",11111,"HK","345 Shoreline Park
Mountain View, CA 94043
USA","MEXICO","MX-HI",0,"MX","OIGA760503D70","www.Test acc 1387.com","Consulting","Other",1,"Cold","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1543
"Test acc 1388","Other","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","MEXICO","MX-GJ",11111,"HK","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","MEXICO","MX-JA",0,"MX","OHD911231M4A","www.Test acc 1388.com","Education","Public",235,"Warm","Commerical logistics and transportation company.",1544
"Test acc 1389","Prospect","312 Constitution Place
Austin, TX 78767
USA","MEXICO","MX-GJ",11111,"HK","DHE010828K6A","MEXICO","MX-JA",0,"MX","OHC030409R41","www.Test acc 1389.com","Electronics","Private",23,"Hot","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1545
"Test acc 139","Customer - Direct","345 Shoreline Park
Mountain View, CA 94043
USA","MEXICO","MX-GJ",11111,"HK","CES081007NE0","MEXICO","MX-JA",0,"MX","OESM75082UI0","www.Test acc 139.com","Energy","Subsidiary",45,"Warm","World's third largest oil and gas company.",1546
"Test acc 1390","Customer - Channel","525 S. Lexington Ave","MEXICO","MX-GJ",11111,"HK","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-JA",0,"MX","OES800908BE8","www.Test acc 1390.com","Engineering","Other",23,"Cold","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1547
"Test acc 1391","Channel Partner / Reseller","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","MEXICO","MX-GJ",11111,"HK","1301 Avenue of the Americas 
New York, NY 10019
USA","MEXICO","MX-JA",0,"MX","OEP090717CB8","www.Test acc 1391.com","Entertainment","Public",45,"Hot","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1548
"Test acc 1392","Installation Partner","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","MEXICO","MX-GJ",11111,"HK","1301 Hoch Drive","MEXICO","MX-JA",0,"MX","OEGF750418NZ9","www.Test acc 1392.com","Environmental","Private",234,"Warm","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1549
"Test acc 1393","Technology Partner","9 Tagore Lane
Singapore, Singapore 787472
Singapore","MEXICO","MX-GJ",11111,"HK","2 Place Jussieu","MEXICO","MX-JA",0,"MX","ODI970127BV4","www.Test acc 1393.com","Finance","Subsidiary",52,"Cold","Commerical logistics and transportation company.",1550
"Test acc 1394","Other","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-GJ",11111,"HK","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","MEXICO","MX-JA",0,"MX","OCO110315Q99","www.Test acc 1394.com","Food & Beverage","Other",436,"Warm","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1551
"Test acc 1395","Prospect","The Landmark @ One Market","MEXICO","MX-GJ",11111,"NO","Test acc 2157","MEXICO","MX-JA",0,"MX","OCM7805101F3","www.Test acc 1395.com","Government","Public",3,"Hot","World's third largest oil and gas company.",1552
"Test acc 1396","Customer - Direct","1301 Avenue of the Americas 
New York, NY 10019
USA","MEXICO","MX-GJ",11200,"MX","345 Shoreline Park
Mountain View, CA 94043
USA","MEXICO","MX-JA",0,"MX","OBH060711RG0","www.Test acc 1396.com","Healthcare","Private",456,"Warm","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1553
"Test acc 1397","Customer - Channel","1301 Hoch Drive","MEXICO","MX-GJ",11210,"MX","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","MEXICO","MX-MC",0,"MX","OAGJ670506AI4","www.Test acc 1397.com","Hospitality","Subsidiary",457,"Cold","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1554
"Test acc 1398","Channel Partner / Reseller","2 Place Jussieu","MEXICO","MX-GJ",11300,"MX","DHE010828K6A","MEXICO","MX-MC",0,"MX","NYD080401DH4","www.Test acc 1398.com","Insurance","Other",4,"Warm","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1555
"Test acc 1399","Installation Partner","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","MEXICO","MX-GR",11320,"MX","CES081007NE0","MEXICO","MX-MC",0,"MX","NVG010622CH7","www.Test acc 1399.com","Machinery","Public",6,"Hot","Commerical logistics and transportation company.",1556
"Test acc 14","Technology Partner","312 Constitution Place
Austin, TX 78767
USA","MEXICO","MX-HI",11320,"MX","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-MC",0,"MX","NUV071212486","www.Test acc 14.com","Manufacturing","Private",856,"Warm","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1557
"Test acc 140","Other","345 Shoreline Park
Mountain View, CA 94043
USA","MEXICO","MX-JA",11400,"MX","1301 Avenue of the Americas 
New York, NY 10019
USA","MEXICO","MX-MR",0,"MX","NSU9102113Y9","www.Test acc 140.com","Media","Subsidiary","Cold","World's third largest oil and gas company.",,1558
"Test acc 1400","Prospect","525 S. Lexington Ave","MEXICO","MX-JA",11410,"MX","1301 Hoch Drive","MEXICO","MX-MR",0,"MX","NSO960820KW0","www.Test acc 1400.com","Not For Profit","Other",34,"Hot","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1559
"Test acc 1401","Customer - Direct","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","MEXICO","MX-JA",11491,"TW","2 Place Jussieu","MEXICO","MX-MX",0,"MX","NSA970129U21","www.Test acc 1401.com","Recreation","Public",6,"Warm","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1560
"Test acc 1402","Customer - Channel","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","MEXICO","MX-JA",11510,"MX","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","MEXICO","MX-MX",0,"MX","NPO900317PP7","www.Test acc 1402.com","Retail","Private",34,"Cold","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1561
"Test acc 1403","Channel Partner / Reseller","9 Tagore Lane
Singapore, Singapore 787472
Singapore","MEXICO","MX-JA",11510,"MX","Test acc 2157","MEXICO","MX-MX",0,"MX","NOR041213MX4","www.Test acc 1403.com","Shipping","Subsidiary",57,"Warm","Commerical logistics and transportation company.",1562
"Test acc 1404","Installation Partner","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-JA",11520,"MX","345 Shoreline Park
Mountain View, CA 94043
USA","MEXICO","MX-MX",0,"MX","NOCJ721227C23","www.Test acc 1404.com","Technology","Other",675,"Hot","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1563
"Test acc 1405","Technology Partner","The Landmark @ One Market","MEXICO","MX-JA",11520,"MX","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","MEXICO","MX-MX",0,"MX","NOC980831HP7","www.Test acc 1405.com","Telecommunications","Public",8,"Warm","World's third largest oil and gas company.",1564
"Test acc 1406","Other","1301 Avenue of the Americas 
New York, NY 10019
USA","MEXICO","MX-JA",11540,"MX","DHE010828K6A","MEXICO","MX-MX",0,"MX","NOBR580605GI5","www.Test acc 1406.com","Transportation","Private",5134,"Cold","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1565
"Test acc 1407","Prospect","1301 Hoch Drive","Mexico","MX-JA",11550,"MX","CES081007NE0","MEXICO","MX-MX",0,"MX","NMM9805219G7","www.Test acc 1407.com","Utilities","Subsidiary",3,"Warm","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1566
"Test acc 1408","Customer - Direct","2 Place Jussieu","MEXICO","MX-JA",11560,"MX","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-MX",0,"MX","NME940225LD3","www.Test acc 1408.com","Other","Other",412,"Hot","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1567
"Test acc 1409","Customer - Channel","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","MEXICO","MX-MC",11570,"MX","1301 Avenue of the Americas 
New York, NY 10019
USA","MEXICO","MX-MX",0,"MX","NME8707213G0","www.Test acc 1409.com","Agriculture","Public",12341,"Warm","Commerical logistics and transportation company.",1568
"Test acc 141","Channel Partner / Reseller","312 Constitution Place
Austin, TX 78767
USA","MEXICO","MX-MC",11570,"MX","1301 Hoch Drive","MEXICO","MX-MX",0,"MX","NME081219RG7","www.Test acc 141.com","Apparel","Private",1234,"Cold","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1569
"Test acc 1410","Installation Partner","345 Shoreline Park
Mountain View, CA 94043
USA","MEXICO","MX-MC",11580,"MX","2 Place Jussieu","MEXICO","MX-MX",0,"MX","NIS961130D43","www.Test acc 1410.com","Banking","Subsidiary",23412341,"Hot","World's third largest oil and gas company.",1570
"Test acc 1411","Technology Partner","525 S. Lexington Ave","MEXICO","MX-MC",11590,"MX","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","MEXICO","MX-MX",0,"MX","NIE870116872","www.Test acc 1411.com","Biotechnology","Other",23412,"Warm","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1571
"Test acc 1412","Other","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","MEXICO","MX-MR",11850,"MX","Test acc 2157","MEXICO","MX-MX",0,"MX","NET060517GT0","www.Test acc 1412.com","Chemicals","Public",234,"Cold","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1572
"Test acc 1413","Prospect","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","MEXICO","MX-MR",11850,"MX","345 Shoreline Park
Mountain View, CA 94043
USA","MEXICO","MX-MX",0,"MX","NDI030902UP9","www.Test acc 1413.com","Communications","Private",12341,"Warm","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1573
"Test acc 1414","Customer - Direct","9 Tagore Lane
Singapore, Singapore 787472
Singapore","MEXICO","MX-MX",11870,"MX","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","MEXICO","MX-MX",0,"MX","NCO920827K12","www.Test acc 1414.com","Construction","Subsidiary",234,"Hot","Commerical logistics and transportation company.",1574
"Test acc 1415","Customer - Channel","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-MX",11950,"MX","DHE010828K6A","MEXICO","MX-MX",0,"MX","NAT931028GI3","www.Test acc 1415.com","Consulting","Other",45,"Warm","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1575
"Test acc 1416","Channel Partner / Reseller","The Landmark @ One Market","MEXICO","MX-MX",12180,"US","CES081007NE0","MEXICO","MX-MX",0,"MX","NAS001213KR0","www.Test acc 1416.com","Education","Public",23,"Cold","World's third largest oil and gas company.",1576
"Test acc 1417","Installation Partner","1301 Avenue of the Americas 
New York, NY 10019
USA","MEXICO","MX-MX",12300,"FR","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-MX",0,"MX","NAM051025QJ4","www.Test acc 1417.com","Electronics","Private",345,"Warm","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1577
"Test acc 1418","Technology Partner","1301 Hoch Drive","MEXICO","MX-MX",13010,"FR","1301 Avenue of the Americas 
New York, NY 10019
USA","MEXICO","MX-MX",0,"MX","MZB1108162C0","www.Test acc 1418.com","Energy","Subsidiary",1234,"Hot","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1578
"Test acc 1419","Other","2 Place Jussieu","MEXICO","MX-MX",13210,"MX","1301 Hoch Drive","MEXICO","MX-MX",0,"MX","MXA8806032MA","www.Test acc 1419.com","Engineering","Other",345,"Warm","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1579
"Test acc 142","Prospect","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","MEXICO","MX-MX",13736,"US","2 Place Jussieu","MEXICO","MX-MX",0,"MX","MVE420829FX0","www.Test acc 142.com","Entertainment","Public",52,"Cold","Commerical logistics and transportation company.",1580
"Test acc 1420","Customer - Direct","312 Constitution Place
Austin, TX 78767
USA","MEXICO","MX-MX",14030,"MX","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","MEXICO","MX-MX",0,"MX","MURC6508122S4","www.Test acc 1420.com","Environmental","Private",35234,"Hot","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1581
"Test acc 1421","Customer - Channel","345 Shoreline Park
Mountain View, CA 94043
USA","MEXICO","MX-MX",14030,"MX","Test acc 2157","MEXICO","MX-MX",0,"MX","MUL860908J83","www.Test acc 1421.com","Finance","Subsidiary",1234123,"Warm","World's third largest oil and gas company.",1582
"Test acc 1422","Channel Partner / Reseller","525 S. Lexington Ave","MEXICO","MX-MX",14213,"US","345 Shoreline Park
Mountain View, CA 94043
USA","MEXICO","MX-MX",0,"MX","MUL020502GL1","www.Test acc 1422.com","Food & Beverage","Other",43,"Cold","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1583
"Test acc 1423","Installation Partner","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","MEXICO","MX-MX",14340,"MX","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","MEXICO","MX-MX",0,"MX","MTV760226G73","www.Test acc 1423.com","Government","Public",45,"Warm","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1584
"Test acc 1424","Technology Partner","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","MEXICO","MX-MX",14370,"MX","DHE010828K6A","MEXICO","MX-MX",0,"MX","MTC920907SK6","www.Test acc 1424.com","Healthcare","Private",23,"Hot","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1585
"Test acc 1425","Other","9 Tagore Lane
Singapore, Singapore 787472
Singapore","MEXICO","MX-MX",14623,"US","CES081007NE0","MEXICO","MX-MX",0,"MX","MSS1205076C6","www.Test acc 1425.com","Hospitality","Subsidiary",45,"Warm","Commerical logistics and transportation company.",1586
"Test acc 1426","Prospect","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-MX",15086,"US","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-MX",0,"MX","MSP1007199P1","www.Test acc 1426.com","Insurance","Other",234,"Cold","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1587
"Test acc 1427","Customer - Direct","The Landmark @ One Market","MEXICO","MX-MX",15270,"MX","1301 Avenue of the Americas 
New York, NY 10019
USA","MEXICO","MX-MX",0,"MX","MSM000707MP2","www.Test acc 1427.com","Machinery","Public",5234,"Warm","World's third largest oil and gas company.",1588
"Test acc 1428","Customer - Channel","1301 Avenue of the Americas 
New York, NY 10019
USA","MEXICO","MX-MX",15317,"US","1301 Hoch Drive","MEXICO","MX-MX",0,"MX","MSG060104SEA","www.Test acc 1428.com","Manufacturing","Private",52345234,"Hot","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1589
"Test acc 1429","Channel Partner / Reseller","1301 Hoch Drive","MEXICO","MX-MX",15530,"MX","2 Place Jussieu","MEXICO","MX-MX",0,"MX","MSF000706BT2","www.Test acc 1429.com","Media","Subsidiary",64356,"Warm","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1590
"Test acc 143","Installation Partner","2 Place Jussieu","MEXICO","MX-MX",15820,"MX","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","MEXICO","MX-MX",0,"MX","MRE0610095I7","www.Test acc 143.com","Not For Profit","Other",35,"Cold","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1591
"Test acc 1430","Technology Partner","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","MEXICO","MX-MX",15850,"MX","Test acc 2157","MEXICO","MX-MX",0,"MX","MPR960118QW9","www.Test acc 1430.com","Recreation","Public",76457,"Hot","Commerical logistics and transportation company.",1592
"Test acc 1431","Other","312 Constitution Place
Austin, TX 78767
USA","MEXICO","MX-MX",15853,"US","345 Shoreline Park
Mountain View, CA 94043
USA","MEXICO","MX-MX",0,"MX","MPR110808BA2","www.Test acc 1431.com","Retail","Private",4567,"Warm","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1593
"Test acc 1432","Prospect","345 Shoreline Park
Mountain View, CA 94043
USA","MEXICO","MX-MX",15960,"MX","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","MEXICO","MX-MX",0,"MX","MPA050413KJA","www.Test acc 1432.com","Shipping","Subsidiary",3456,"Cold","World's third largest oil and gas company.",1594
"Test acc 1433","Customer - Direct","525 S. Lexington Ave","MEXICO","MX-MX",16148,"US","DHE010828K6A","MEXICO","MX-MX",0,"MX","MOVC800603TU1","www.Test acc 1433.com","Technology","Other",56745,"Warm","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1595
"Test acc 1434","Customer - Channel","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","MEXICO","MX-MX",16888,"MX","CES081007NE0","MEXICO","MX-MX",0,"MX","MORR700212NHA","www.Test acc 1434.com","Telecommunications","Public",456745,"Hot","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1596
"Test acc 1435","Channel Partner / Reseller","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","MEXICO","MX-MX",17201,"US","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-MX",0,"MX","MOPH7106054U0","www.Test acc 1435.com","Transportation","Private",456745,"Warm","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1597
"Test acc 1436","Installation Partner","9 Tagore Lane
Singapore, Singapore 787472
Singapore","MEXICO","MX-MX",19047,"US","1301 Avenue of the Americas 
New York, NY 10019
USA","MEXICO","MX-MX",0,"MX","MOPG381298I0","www.Test acc 1436.com","Utilities","Subsidiary",23,"Cold","Commerical logistics and transportation company.",1598
"Test acc 1437","Technology Partner","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-MX",20020,"MX","1301 Hoch Drive","MEXICO","MX-MX",0,"MX","MOPA610726Q59","www.Test acc 1437.com","Other","Other",2345,"Warm","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1599
"Test acc 1438","Other","The Landmark @ One Market","MEXICO","MX-MX",20050,"MX","2 Place Jussieu","MEXICO","MX-MX",0,"MX","MOOY6201136B9","www.Test acc 1438.com","Apparel","Private",145000,"Warm","World's third largest oil and gas company.",1600
"Test acc 1439","Prospect","1301 Avenue of the Americas 
New York, NY 10019
USA","MEXICO","MX-MX",20100,"IT","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","MEXICO","MX-MX",0,"MX","MOMD890307SS5","www.Test acc 1439.com","Consulting","Other",39000,"Warm","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1601
"Test acc 144","Customer - Direct","1301 Hoch Drive","MEXICO","MX-MX",20130,"MX","Test acc 2157","MEXICO","MX-MX",0,"MX","MOLL9006078N1","www.Test acc 144.com","Electronics","Private",265,"Warm","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1602
"Test acc 1440","Customer - Channel","2 Place Jussieu","MEXICO","MX-MX",20229,"MX","345 Shoreline Park
Mountain View, CA 94043
USA","MEXICO","MX-MX",0,"MX","MOHM7102131X2","www.Test acc 1440.com","Construction","Subsidiary",1000,"Cold","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1603
"Test acc 1441","Channel Partner / Reseller","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","MEXICO","MX-MX",20259,"MX","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","MEXICO","MX-MX",0,"MX","MOGR690428459","www.Test acc 1441.com","Communications","Private",12300,"Warm","Commerical logistics and transportation company.",1604
"Test acc 1442","Installation Partner","312 Constitution Place
Austin, TX 78767
USA","MEXICO","MX-MX",20277,"MX","DHE010828K6A","MEXICO","MX-MX",0,"MX","MOGC680216CZ6","www.Test acc 1442.com","Banking","Subsidiary",5600,"Cold","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1605
"Test acc 1443","Technology Partner","345 Shoreline Park
Mountain View, CA 94043
USA","MEXICO","MX-MX",20900,"MX","CES081007NE0","MEXICO","MX-MX",0,"MX","MOGA651006AM6","www.Test acc 1443.com","Agriculture","Public",2680,"Hot","World's third largest oil and gas company.",1606
"Test acc 1444","Other","525 S. Lexington Ave","MEXICO","MX-MX",21010,"MX","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-MX",0,"MX","MOFM620322GB8","www.Test acc 1444.com","Biotechnology","Other",9000,"Warm","Leading university in AZ offering undergraduate and graduate programs in arts and humanities, pure sciences, engineering, business, and medicine.",1607
"Test acc 1445","Prospect","620 SW 5th Avenue Suite 400
Portland, Oregon 97204
United States","MEXICO","MX-MX",21100,"MX","1301 Avenue of the Americas 
New York, NY 10019
USA","MEXICO","MX-MX",0,"MX","MOCC8805093Y3","www.Test acc 1445.com","Chemicals","Public",2342,"Hot","Genomics company engaged in mapping and sequencing of the human genome and developing gene-based drugs",1608
"Test acc 1446","Customer - Direct","888 N Euclid 
Hallis Center, Room 501
Tucson, AZ 85721
United States","MEXICO","MX-MX",21200,"MX","1301 Hoch Drive","MEXICO","MX-MX",0,"MX","MOBV611223D67","www.Test acc 1446.com","Education","Public",3000,"Hot","Edge, founded in 1998, is a start-up based in Austin, TX. The company designs and manufactures a device to convert music from one digital format to another. Edge sells its product through retailers and its own website.",1609
"Test acc 1447","Customer - Channel","9 Tagore Lane
Singapore, Singapore 787472
Singapore","MEXICO","MX-MX",21330,"MX","2 Place Jussieu","MEXICO","MX-MX",0,"MX","MOBG451023260","www.Test acc 1447.com","Energy","Subsidiary",120,"Cold","Commerical logistics and transportation company.",1610
"Test acc 1448","Channel Partner / Reseller","Kings Park, 17th Avenue, Team Valley Trading Estate,
Gateshead, Tyne and Wear NE26 3HS
United Kingdom","MEXICO","MX-MX",21340,"MX","2334 N. Michigan Avenue, Suite 1500
Chicago, IL 60601, USA","MEXICO","MX-MX",0,"MX","MOBA82100538A","www.Test acc 1448.com","Engineering","Other",24000,"Hot","Chain of hotels and resorts across the US, UK, Eastern Europe, Japan, and SE Asia.",1611
"Test acc 1449","Installation Partner","The Landmark @ One Market","MEXICO","MX-MX",21353,"MX","Test acc 2157","MEXICO","MX-MX",0,"MX","MOAE8612127Z8","www.Test acc 1449.com","Entertainment","Public",234234,"Warm","World's third largest oil and gas company.",1612
